run;Drift;Extraction;Amplification;Induction;trigger
741;313;1000;25000;1000;CRT
743;321;1100;26000;1000;CRT
744;330;1200;26000;1000;PMT
745;339;1200;27000;1000;PMT
747;347;1300;28000;1000;PMT
765;310;900;28000;1500;PMT
766;310;900;29000;1000;PMT
767;309.5;950;29000;1000;PMT
768;309.5;900;29500;1000;PMT
769;310;1000;28000;1000;PMT
770;310;1000;28000;1000;CRT
774;358;1200;28000;1000;PMT
775;158;1200;28000;1000;PMT
776;358;1200;28000;1000;PMT
778;358;1200;28000;1000;PMT
779;357;1300;28000;1000;PMT
780;356;1400;28000;1000;PMT
781;356;1400;28000;1000;PMT
782;355;1500;28000;1000;PMT
783;457;1300;28000;1000;PMT
784;456;1400;28000;1000;PMT
785;455;1500;28000;1000;PMT
786;454;1600;28000;1000;PMT
787;453;1700;28000;1000;PMT
788;452;1800;28000;1000;PMT
789;511;1900;28000;1000;PMT
790;510;2000;28000;1000;PMT
791;509;2100;28000;1000;PMT
792;508;2200;28000;1000;PMT
793;507;2300;28000;1000;PMT
794;506;2400;28000;1000;PMT
795;505;2500;28000;1000;PMT
796;504;2600;28000;1000;PMT
797;514;1600;28000;1000;PMT
798;513;1700;28000;1000;PMT
799;512;1800;28000;1000;PMT
800;511;1900;28000;1000;PMT
801;510;2000;28000;1000;PMT
802;509;2100;28000;1000;PMT
803;508;2200;28000;1000;PMT
804;507;2300;28000;1000;PMT
805;507;2300;28000;1000;CRT
806;507;2300;28000;1000;CRT
807;507;2300;28000;1000;CRT
833;523;1600;28000;1500;PMT
834;522;1700;28000;1500;PMT
835;521;1800;28000;1500;PMT
836;520;1900;28000;1500;PMT
837;519;2000;28000;1500;PMT
838;619;2000;28000;1500;PMT
840;510;1900;28000;1500;PMT
841;510;1900;28000;1500;PMT
842;510;1900;28000;1500;PMT
843;510;1900;28000;1500;PMT
981;511;2200;25000;1000;CRT
982;511;2200;25000;1000;CRT
983;511;2200;25000;1000;CRT
984;511;2200;25000;1000;CRT
985;511;2200;25000;1000;CRT
986;511;2200;25000;1000;CRT
987;511;2200;25000;1000;CRT
988;511;2200;25000;1000;CRT
989;511;2200;25000;1000;CRT
990;510.5;2200;25500;1000;CRT
991;510.5;2200;25500;1000;CRT
993;510.5;2200;25500;1000;CRT
994;510.5;2200;25500;1000;CRT
995;510;2200;26000;1000;CRT
996;510;2200;26000;1000;PMT
997;509.5;2200;26500;1000;PMT
998;509.5;2200;26500;1000;PMT
999;509.5;2200;26500;1000;PMT
1000;509;2200;27000;1000;PMT
1002;509.5;2150;27000;1000;PMT
1003;509.5;2150;27000;1000;PMT
1004;509.5;2150;27000;1000;PMT
1005;509.5;2100;27500;1000;PMT
1006;509.5;2100;27500;1000;PMT
1007;510;2050;27000;1250;PMT
1008;510;2050;27000;1250;PMT
1009;510;2050;27000;1250;PMT
1010;510;2050;27000;1250;PMT
1011;510;2050;27000;1250;PMT
1012;510;2000;27500;1250;PMT
1013;510;2000;27500;1250;PMT
1014;510;2000;27500;1250;PMT
1016;510;2000;27500;1250;PMT
1035;510;2000;27500;1250;PMT
1036;510;2000;27500;1250;PMT
1037;510;2000;27500;1250;PMT
1038;510;2000;27500;1250;PMT
1039;510;1950;28000;1250;PMT
1040;510;1950;28000;1250;PMT
1165;207;800;30000;2500;PMT
1166;256;900;30000;2500;PMT
1167;256;1000;30000;2000;PMT
1172;257;1000;23000;5000;PMT
1173;256;1100;23000;5000;PMT
1174;256;1300;23000;4000;PMT
1175;256;1500;23000;3000;PMT
1176;256;1700;23000;2000;PMT
1177;256;1900;23000;1000;PMT
1178;360;1200;23000;2500;PMT
1180;358;1400;23000;2500;PMT
1181;356;1600;23000;2500;PMT
1182;356;1800;21000;2500;PMT
1183;356;2000;19000;2500;PMT
1187;356;2200;17000;2500;PMT
1188;356;2400;15000;2500;PMT
1189;516;1600;23000;2500;PMT
1190;516;1400;25000;2500;PMT
1191;516;1200;27000;2500;PMT
1192;516;1000;29000;2500;PMT
1193;516;1000;30000;2000;PMT
1194;516;1000;31000;1500;PMT
1195;516;1100;28000;2500;PMT
1196;516;1100;29000;2000;PMT
1197;516;1000;30000;2000;PMT
1198;516;1100;30000;1500;PMT
1199;516;1100;31000;1000;PMT
