run;Drift;Extraction;Amplification;Induction
981;511;2200;25000;1000
982;511;2200;25000;1000
983;511;2200;25000;1000
984;511;2200;25000;1000
985;511;2200;25000;1000
986;511;2200;25000;1000
987;511;2200;25000;1000
988;511;2200;25000;1000
989;511;2200;25000;1000
990;510.5;2200;25500;1000
991;510.5;2200;25500;1000
993;510.5;2200;25500;1000
994;510.5;2200;25500;1000
995;510;2200;26000;1000
996;510;2200;26000;1000
997;509.5;2200;26500;1000
998;509.5;2200;26500;1000
999;509.5;2200;26500;1000
1000;509;2200;27000;1000
1002;509.5;2150;27000;1000
1003;509.5;2150;27000;1000
1004;509.5;2150;27000;1000
1005;509.5;2100;27500;1000
1006;509.5;2100;27500;1000
1007;510;2050;27000;1250
1008;510;2050;27000;1250
1009;510;2050;27000;1250
1010;510;2050;27000;1250
1011;510;2050;27000;1250
1012;510;2000;27500;1250
1013;510;2000;27500;1250
1014;510;2000;27500;1250
1016;510;2000;27500;1250
1035;510;2000;27500;1250
1036;510;2000;27500;1250
1037;510;2000;27500;1250
1038;510;2000;27500;1250
1039;510;1950;28000;1250
1040;510;1950;28000;1250
1165;207;800;30000;2500
1166;256;900;30000;2500
1167;256;1000;30000;2000
1172;257;1000;23000;5000
1173;256;1100;23000;5000
1174;256;1300;23000;4000
1175;256;1500;23000;3000
1176;256;1700;23000;2000
1177;256;1900;23000;1000
1178;360;1200;23000;2500
1180;358;1400;23000;2500
1181;356;1600;23000;2500
1182;356;1800;21000;2500
1183;356;2000;19000;2500
1187;356;2200;17000;2500
1188;356;2400;15000;2500
1189;516;1600;23000;2500
1190;516;1400;25000;2500
1191;516;1200;27000;2500
1192;516;1000;29000;2500
1193;516;1000;30000;2000
1194;516;1000;31000;1500
1195;516;1100;28000;2500
1196;516;1100;29000;2000
1197;516;1000;30000;2000
1198;516;1100;30000;1500
1199;516;1100;31000;1000

