date;TE0037;TE0038;TE0039;TE0040;TE0041;TE0042;TE0043;TE0044;TE0045;TE0046;TE0047;TE0048;TE1001;TE1002;TE1003;TE1004;TE0049;TE0050;TE0051;TE0052;TE0053;TE0054;TE0055;TE0056;TE0057;TE0058;TE0059;TE0060;PE0006;
1504334840;102.08000;103.73000;106.60000;118.26000;100.61000;103.10000;107.60000;118.45000;102.44000;104.18000;106.37000;119.25000;100.21000;102.81000;107.06000;118.22000;87.64500;87.54300;87.48000;87.46100;87.42600;87.46100;87.43400;87.45100;99.65500;110.24000;119.74000;129.14999;1003.50000;
1504334850;102.09000;103.74000;106.61000;118.27000;100.60000;103.11000;107.62000;118.45000;102.45000;104.19000;106.39000;119.30000;100.21000;102.81000;107.06000;118.22000;87.63800;87.54300;87.48000;87.46100;87.42600;87.46100;87.43400;87.45100;99.65500;110.24000;119.74000;129.14999;1003.50000;
1504334851;102.09000;103.74000;106.61000;118.27000;100.60000;103.11000;107.62000;118.45000;102.45000;104.19000;106.39000;119.30000;100.21000;102.81000;107.06000;118.22000;87.63800;87.53100;87.47500;87.46400;87.44600;87.47600;87.42900;87.42200;99.66100;110.26000;119.77000;129.17000;1003.50000;
1504334856;102.09000;103.74000;106.61000;118.27000;100.60000;103.11000;107.62000;118.45000;102.45000;104.19000;106.39000;119.30000;100.22000;102.86000;107.08000;118.24000;87.63800;87.53100;87.47500;87.46400;87.44600;87.47600;87.42900;87.42200;99.66100;110.26000;119.77000;129.17000;1003.59998;
1504334888;102.09000;103.74000;106.63000;118.30000;100.61000;103.11000;107.62000;118.49000;102.44000;104.20000;106.39000;119.35000;100.22000;102.86000;107.08000;118.24000;87.63500;87.54000;87.46800;87.47100;87.44600;87.46400;87.42900;87.42200;99.66100;110.26000;119.77000;129.17000;1003.59998;
1504334889;102.09000;103.74000;106.63000;118.30000;100.61000;103.11000;107.62000;118.49000;102.44000;104.20000;106.39000;119.35000;100.22000;102.86000;107.08000;118.24000;87.63500;87.54000;87.46800;87.47100;87.44600;87.46400;87.42200;87.39100;99.66200;110.26000;119.81000;129.22000;1003.59998;
1504334894;102.09000;103.74000;106.63000;118.30000;100.61000;103.11000;107.62000;118.49000;102.44000;104.20000;106.39000;119.35000;100.22000;102.82000;107.08000;118.27000;87.63500;87.54000;87.46800;87.47100;87.44600;87.46400;87.42200;87.39100;99.66200;110.26000;119.81000;129.22000;1003.59998;
1504334895;102.09000;103.74000;106.63000;118.30000;100.61000;103.11000;107.62000;118.49000;102.44000;104.20000;106.39000;119.35000;100.22000;102.82000;107.08000;118.27000;87.63500;87.54000;87.46800;87.47100;87.44600;87.46400;87.42200;87.39100;99.66200;110.26000;119.81000;129.22000;1002.90002;
1504334915;102.09000;103.73000;106.62000;118.31000;100.61000;103.11000;107.62000;118.48000;102.44000;104.20000;106.39000;119.35000;100.22000;102.82000;107.08000;118.27000;87.63500;87.54000;87.46800;87.47100;87.44600;87.46400;87.42200;87.39100;99.66200;110.26000;119.81000;129.22000;1002.90002;
1504334916;102.09000;103.73000;106.62000;118.31000;100.61000;103.11000;107.62000;118.48000;102.44000;104.20000;106.39000;119.35000;100.22000;102.82000;107.08000;118.27000;87.62400;87.54500;87.46800;87.46100;87.43900;87.46400;87.41700;87.38400;99.65000;110.26000;119.79000;129.22000;1002.90002;
